Order Number,Receipt Time HH,Day,Product,Category Name,Group,SubCategory,Is_Local,Category
310018,23,Sunday,VEAL CHEEKS,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
310018,23,Sunday,MYCONIAN LAMB,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Main Dishes
310018,23,Sunday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
310018,23,Sunday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
310018,23,Sunday,GREEK YOGHURT W SUMMER FRUITS & HONEY,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
310018,23,Sunday,GREEK YOGHURT W SUMMER FRUITS & HONEY,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
310018,23,Sunday,PAN-FRIED SHRIMP TERRINE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
310018,23,Sunday,PAN-FRIED SHRIMP TERRINE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
310015,23,Sunday,VEGAN BROWNIES,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
310015,23,Sunday,MARINATED FRESH FISH CARPACCIO & TARTARE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
310015,23,Sunday,ZUCCHINI BALLS,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Appetizers & Sides
310015,23,Sunday,SEA BASS FILLET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
310015,23,Sunday,LOCAL MYKONIAN PIES,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Desserts
310015,23,Sunday,PAN-FRIED SHRIMP TERRINE,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Main Dishes
310015,23,Sunday,ASPARAGUS,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Appetizers & Sides
310015,23,Sunday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
310015,23,Sunday,SORBET,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Desserts
310015,23,Sunday,GREEK YOGHURT W SUMMER FRUITS & HONEY,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Breakfast & Brunch
310015,23,Sunday,MYCONIAN LAMB,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Main Dishes
310015,23,Sunday,HOMEMADE RAVIOLI,Food,19F - BIG DINNER MENUS,Big Dinner Menus,Yes,Main Dishes
317666,23,Saturday,ASPARAGUS,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Appetizers & Sides
317666,23,Saturday,ZUCCHINI BALLS,Food,19F - BIG DINNER MENUS,Big Dinner Menus,No,Appetizers & Sides
